Sample_ID,Collect_DateTime,Ammonia Nitrogen,Conductivity,"Conductivity, Field",Dissolved Oxygen,"Dissolved Oxygen, Field",E. coli,Enterococcus,Fecal Coliform,Nitrite + Nitrate Nitrogen,Orthophosphate Phosphorus,Silica,Temperature,Total Alkalinity,Total Nitrogen,Total Phosphorus,Total Suspended Solids,Turbidity,pH,"pH, Field"
7439,02/24/1972 12:00:00 AM,0.22,,,,,,,320.0,0.44,,,6.2,,,,,,,
7441,03/07/1972 12:00:00 AM,0.12,,,,,,,50.0,0.38,,,4.8,,,,,,,
7457,03/22/1972 12:00:00 AM,0.17,,,,,,,1200.0,0.26,,,7.2,,,,,,,
7469,04/04/1972 12:00:00 AM,0.17,,,,,,,88.0,0.24,,,7.5,,,,,,,
7471,04/20/1972 12:00:00 AM,0.06,,,,,,,25.0,0.32,,,7.6,,,,,,,
7497,05/04/1972 12:00:00 AM,0.09,,,,,,,20.0,0.16,,,8.4,,,,,,,
7499,05/16/1972 12:00:00 AM,0.13,,,,,,,75.0,0.12,,,8.6,,,,,,,
7501,05/30/1972 12:00:00 AM,0.19,,,,,,,50.0,0.16,,,11.2,,,,,,,
7503,06/13/1972 12:00:00 AM,0.25,,,,,,,20.0,0.52,,,12.2,,,,,,,
7505,06/29/1972 12:00:00 AM,0.04,,,,,,,70.0,0.26,,,14.8,,,,,,,
7512,07/11/1972 12:00:00 AM,0.09,,,,,,,2600.0,0.45,,,10.3,,,,,,,
7517,07/26/1972 12:00:00 AM,0.07,,,,,,,25.0,0.39,,,18.0,,,,,,,
7524,08/01/1972 12:00:00 AM,0.08,,,,,,,260.0,0.5,,,18.2,,,,,,,
7534,08/22/1972 12:00:00 AM,0.05,,,,,,,125.0,0.48,,,16.1,,,,,,,
7550,09/13/1972 12:00:00 AM,0.21,,,,,,,68.0,0.55,,,15.4,,,,,,,
7561,09/29/1972 12:00:00 AM,0.09,,,,,,,160.0,0.52,,,11.9,,,,,,,
7567,10/10/1972 12:00:00 AM,0.45,,,,,,,920.0,0.32,,,11.6,,,,,,,
7575,10/13/1972 12:00:00 AM,,,,,,,,20.0,,,,10.6,,,,,,,
7581,10/16/1972 12:00:00 AM,,,,,,,,400.0,,,,9.8,,,,,,,
7584,10/20/1972 12:00:00 AM,,,,,,,,20.0,,,,9.8,,,,,,,
7587,10/26/1972 12:00:00 AM,1.0,,,,,,,630.0,0.38,,,8.2,,,,,,,
7598,10/31/1972 12:00:00 AM,,,,,,,,20.0,,,,7.0,,,,,,,
7600,11/02/1972 12:00:00 AM,,,,,,,,380.0,,,,9.1,,,,,,,
7607,11/08/1972 12:00:00 AM,0.09,,,,,,,720.0,0.34,,,8.2,,,,,,,
7609,11/09/1972 12:00:00 AM,0.09,,,,,,,720.0,0.34,,,8.2,,,,,,,
7615,11/17/1972 12:00:00 AM,0.45,,,,,,,60.0,0.42,,,6.6,,,,,,,
7617,11/21/1972 12:00:00 AM,0.26,,,,,,,20.0,0.79,,,7.2,,,,,,,
7624,11/30/1972 12:00:00 AM,0.15,,,,,,,110.0,0.38,,,6.9,,,,,,,
7634,12/14/1972 12:00:00 AM,0.47,,,,,,,20.0,0.38,,,5.0,,,,,,,
7645,12/28/1972 12:00:00 AM,0.13,,,,,,,100.0,0.54,,,5.4,,,,,,,
7656,01/09/1973 12:00:00 AM,0.11,,,,,,,20.0,0.54,,,1.0,,,,,,,
7663,01/25/1973 12:00:00 AM,0.24,,,,,,,110.0,0.52,,,5.8,,,,,,,
7674,02/08/1973 12:00:00 AM,0.38,,,,,,,20.0,0.54,,,5.9,,,,,,,
7680,02/22/1973 12:00:00 AM,0.18,,,,,,,20.0,0.56,,,6.6,,,,,,,
7682,03/08/1973 12:00:00 AM,0.21,,,,,,,42.0,0.16,,,6.9,,,,,,,
7684,04/05/1973 12:00:00 AM,0.21,,,,,,,400.0,0.26,,,10.2,,,,,,,
7704,05/03/1973 12:00:00 AM,0.3,,,,,,,82.0,0.3,,,11.3,,,,,,,
7715,05/17/1973 12:00:00 AM,0.11,,,,,,,510.0,0.28,,,14.8,,,,,,,
7735,06/21/1973 12:00:00 AM,0.7,,,,,,,42.0,0.5,,,17.1,,,,,,,
7742,07/02/1973 12:00:00 AM,0.61,,,,,,,170.0,0.36,,,16.1,,,,,,,
7762,07/26/1973 12:00:00 AM,0.6,,,,,,,1500.0,0.44,,,16.7,,,,,,,
7774,08/09/1973 12:00:00 AM,0.49,,,,,,,20.0,0.48,,,19.0,,,,,,,
7785,08/23/1973 12:00:00 AM,0.42,,,,,,,20.0,0.68,,,14.8,,,,,,,
7801,09/13/1973 12:00:00 AM,0.8,,,,,,,20.0,0.64,,,15.8,,,,,,,
7815,10/04/1973 12:00:00 AM,0.16,,,,,,,20.0,0.52,,,12.5,,,,,,,
7819,10/18/1973 12:00:00 AM,0.68,,,,,,,62.0,0.98,,,11.6,,,,,,,
7822,11/01/1973 12:00:00 AM,0.39,,,,,,,20.0,0.59,,,9.8,,,,,,,
7828,11/14/1973 12:00:00 AM,0.19,,,,,,,20.0,0.6,,,6.8,,,,,,,
7833,12/05/1973 12:00:00 AM,0.19,,,,,,,20.0,0.42,,,5.8,,,,,,,
7836,12/18/1973 12:00:00 AM,0.15,,,,,,,160.0,0.39,,,8.3,,,,,,,
7840,01/03/1974 12:00:00 AM,0.37,,,,,,,20.0,0.56,,,2.2,,,,,,,
7848,01/17/1974 12:00:00 AM,0.19,,,,,,,210.0,0.36,,,5.8,,,,,,,
7854,01/28/1974 12:00:00 AM,0.14,,,,,,,65.0,0.42,,,5.3,,,,,,,
7866,02/15/1974 12:00:00 AM,0.31,,,,,,,40.0,0.51,,,5.5,,,,,,,
7877,02/28/1974 12:00:00 AM,0.33,,,,,,,120.0,0.49,,,5.9,,,,,,,
7882,03/07/1974 12:00:00 AM,0.3,,,,,,,36.0,0.46,,,4.0,,,,,,,
7891,03/21/1974 12:00:00 AM,0.18,,,,,,,20.0,0.38,,,6.0,,,,,,,
7899,04/04/1974 12:00:00 AM,0.17,,,,,,,73.0,0.32,,,8.0,,,,,,,
7901,04/18/1974 12:00:00 AM,0.19,,,,,,,22.0,0.26,,,9.0,,,,,,,
7928,05/16/1974 12:00:00 AM,0.19,,,,,,,32.0,0.27,,,7.3,,,,,,,
7935,05/30/1974 12:00:00 AM,0.15,,,,,,,23.0,0.14,,,8.0,,,,,,,
7943,06/13/1974 12:00:00 AM,0.15,,,,,,,20.0,0.13,,,11.8,,,,,,,
7949,06/27/1974 12:00:00 AM,0.36,,,,,,,20.0,0.29,,,11.8,,,,,,,
7952,07/11/1974 12:00:00 AM,0.29,,,,,,,34.0,0.18,,,13.0,,,,,,,
7957,07/25/1974 12:00:00 AM,0.54,,,,,,,20.0,0.25,,,17.6,,,,,,,
7969,08/08/1974 12:00:00 AM,0.31,,,,,,,43.0,0.3,,,15.7,,,,,,,
7977,08/22/1974 12:00:00 AM,0.56,,,,,,,170.0,0.55,,,16.1,,,,,,,
7983,09/09/1974 12:00:00 AM,0.39,,,,,,,20.0,1.0,,,16.5,,,,,,,
7999,09/23/1974 12:00:00 AM,0.67,,,,,,,20.0,0.98,,,16.5,,,,,,,
8009,10/02/1974 12:00:00 AM,0.25,,,,,,,20.0,1.02,,,13.6,,,,,,,
8012,10/24/1974 12:00:00 AM,0.78,,,,,,,20.0,0.8,,,10.0,,,,,,,
8016,11/07/1974 12:00:00 AM,1.3,,,,,,,,0.69,,,10.4,,,,,,,
8020,11/21/1974 12:00:00 AM,0.36,,,,,,,,0.51,,,8.5,,,,,,,
8026,12/05/1974 12:00:00 AM,0.39,,,,,,,230.0,0.67,,,8.0,,,,,,,
8028,12/19/1974 12:00:00 AM,0.02,,,,,,,,0.34,,,6.1,,,,,,,
8030,12/20/1974 12:00:00 AM,,,,,,,,100.0,,,,7.0,,,,,,,
8032,01/16/1975 12:00:00 AM,0.14,,,,,,,230.0,0.69,,,5.3,,,0.13,,,,
8034,01/29/1975 12:00:00 AM,0.13,,,,,,,57.0,0.55,,,4.1,,,0.17,,,,
8036,02/13/1975 12:00:00 AM,,,,,,,,,,,,5.0,,,,,,,
8038,02/14/1975 12:00:00 AM,0.15,,,,,,,240.0,0.42,,,6.5,,,0.28,,,,
8040,02/27/1975 12:00:00 AM,0.22,,,,,,,87.0,0.46,,,5.8,,,0.22,,,,
8042,03/12/1975 12:00:00 AM,0.34,,,,,,,87.0,0.42,,,6.8,,,0.25,,,,
8044,03/25/1975 12:00:00 AM,0.39,,,,,,,27.0,0.41,,,5.6,,,0.19,,,,
8052,04/09/1975 12:00:00 AM,0.41,,,,,,,37.0,0.36,,,10.0,,,0.2,,,,
8054,04/29/1975 12:00:00 AM,0.3,,,,,,,40.0,0.22,,,6.9,,,0.15,,,,
8056,05/15/1975 12:00:00 AM,0.1,,,,,,,30.0,0.1,,,9.8,,,0.16,,,,
8058,05/29/1975 12:00:00 AM,0.18,,,,,,,110.0,0.11,,,12.6,,,0.2,,,,
8060,06/12/1975 12:00:00 AM,0.52,,,,,,,170.0,0.36,,,16.5,,,0.28,,,,
8069,06/26/1975 12:00:00 AM,0.29,,,,,,,120.0,0.18,,,12.4,,,0.19,,,,
8071,07/10/1975 12:00:00 AM,0.29,,,,,,,180.0,0.16,,,16.2,,,0.23,,,,
8073,07/24/1975 12:00:00 AM,0.88,,,,,,,420.0,0.3,,,19.7,,,0.43,,,,
8075,08/07/1975 12:00:00 AM,0.54,,,,,,,300.0,0.36,,,15.9,,,0.26,,,,
8077,08/21/1975 12:00:00 AM,0.98,,,,,,,110.0,0.48,,,16.2,,,0.19,,,,
8086,09/04/1975 12:00:00 AM,0.44,,,,,,,73.0,0.26,,,14.9,,,0.29,,,,
8088,09/18/1975 12:00:00 AM,0.76,,,,,,,100.0,0.52,,,13.5,,,0.82,,,,
8090,10/08/1975 12:00:00 AM,1.03,,,,,,,360.0,0.52,,,10.5,,,0.56,,,,
8092,10/24/1975 12:00:00 AM,0.56,,,,,,,,0.41,,,8.4,,,0.22,,,,
8094,11/06/1975 12:00:00 AM,0.23,,,,,,,30.0,0.26,,,7.2,,,0.18,,,,
8096,11/20/1975 12:00:00 AM,0.27,,,,,,,70.0,0.39,,,4.3,,,0.19,,,,
8105,12/11/1975 12:00:00 AM,0.15,,,,,,,63.0,0.24,,,5.0,,,0.14,,,,
8107,12/21/1975 12:00:00 AM,0.34,,,,,,,27.0,0.43,,,5.5,,,0.21,,,,
8109,01/07/1976 12:00:00 AM,0.22,,,,,,,63.0,0.41,,,4.1,,,0.21,,,,
8111,01/21/1976 12:00:00 AM,0.15,,,,,,,20.0,0.32,,,4.0,,,0.18,,,,
8113,02/04/1976 12:00:00 AM,0.26,,,,,,,20.0,0.33,,,3.5,,,0.2,,,,
8115,02/19/1976 12:00:00 AM,0.24,,,,,,,170.0,0.4,,,4.9,,,0.18,,,,
8117,03/03/1976 12:00:00 AM,0.1,,,,,,,70.0,0.49,,,3.8,,,0.14,,,,
8126,03/17/1976 12:00:00 AM,0.45,,,,,,,28.0,0.37,,,7.8,,,0.18,,,,
8134,04/13/1976 12:00:00 AM,0.148,51.0,,11.7,,,,39.0,0.153,,,7.3,,,0.14,41.0,,7.2,7.2
8142,04/27/1976 12:00:00 AM,0.223,52.0,,11.1,,,,20.0,0.246,,,8.1,,,0.21,8.2,3.3,7.2,7.2
8150,05/12/1976 12:00:00 AM,0.167,63.0,,11.2,,,,24.0,0.133,,,8.8,,,0.16,66.4,26.0,5.9,5.9
8158,05/25/1976 12:00:00 AM,0.533,132.0,,9.4,,,,32.0,0.135,,,10.1,,,0.29,6.4,,6.0,6.0
8167,06/14/1976 12:00:00 AM,0.518,78.0,,9.9,,,,73.0,0.19,,,11.7,,,,16.3,9.3,7.0,7.0
8182,06/28/1976 12:00:00 AM,0.592,95.0,,10.6,,,,20.0,0.169,,,16.1,,,0.29,5.0,4.3,7.2,7.2
8190,07/13/1976 12:00:00 AM,0.266,118.0,,8.6,,,,20.0,0.263,,,15.5,,,0.14,7.2,2.9,7.1,7.1
8198,07/26/1976 12:00:00 AM,0.868,167.0,,8.0,,,,66.0,0.332,,,14.4,,,0.42,5.0,5.0,6.3,6.3
8206,08/09/1976 12:00:00 AM,0.863,158.0,,7.9,,,,1700.0,0.424,,,15.1,,,0.48,9.6,6.3,6.8,6.8
8210,08/17/1976 12:00:00 AM,,,,,,,,1000.0,,,,14.8,,,,,,,
8218,08/23/1976 12:00:00 AM,0.69,95.0,,8.6,,,,70.0,0.216,,,15.8,,,0.36,10.2,5.7,6.9,6.9
8226,09/14/1976 12:00:00 AM,1.06,98.0,,8.9,,,,130.0,0.163,,,15.4,,,0.21,6.4,,7.3,7.3
8245,09/28/1976 12:00:00 AM,1.3,127.0,,8.4,,,,87.0,0.226,,,16.0,,,0.55,3.6,2.4,7.3,7.3
8253,10/12/1976 12:00:00 AM,,156.0,,8.6,,,,67.0,,,,13.2,,,,4.6,2.7,7.5,7.5
8256,10/26/1976 12:00:00 AM,0.951,94.0,,9.2,,,,20.0,0.433,,,11.2,,,1.03,7.5,3.1,6.4,6.4
8264,11/09/1976 12:00:00 AM,0.615,140.0,,9.8,,,,53.0,0.302,,,10.5,,,0.33,3.0,1.8,7.7,7.7
8267,11/30/1976 12:00:00 AM,0.42,75.0,,12.6,,,,20.0,0.2,,,3.0,,,0.05,2.8,2.4,7.0,7.0
8270,12/14/1976 12:00:00 AM,0.212,79.0,,11.3,,,,22.0,0.328,,,6.8,,,0.14,3.0,1.8,6.6,6.6
8288,12/28/1976 12:00:00 AM,0.13,58.0,,11.6,,,,160.0,0.403,,,5.1,,,0.2,71.0,26.0,7.0,7.0
8297,01/11/1977 12:00:00 AM,1.35,180.0,,12.4,,,,20.0,0.394,,,3.5,,,0.07,6.4,4.6,7.4,7.4
8299,01/26/1977 12:00:00 AM,0.044,76.0,,12.9,,,,20.0,0.385,,,2.8,,,0.15,7.6,2.7,6.7,6.7
8308,02/09/1977 12:00:00 AM,0.747,139.0,,11.1,,,,70.0,0.456,,,6.8,,,0.24,5.0,2.2,6.5,6.5
8310,02/24/1977 12:00:00 AM,0.504,89.0,,11.4,,,,29.0,0.292,,,6.0,,,0.16,5.2,2.6,6.8,6.8
8318,03/08/1977 12:00:00 AM,0.478,118.0,,11.0,,,,1300.0,0.518,,,6.8,,,0.19,15.0,11.0,6.0,6.0
8321,03/22/1977 12:00:00 AM,0.695,,,10.8,,,,23.0,0.435,,,8.2,,,0.26,5.2,,6.9,6.9
8339,04/04/1977 12:00:00 AM,0.402,83.0,,11.9,,,,20.0,0.272,,,9.8,,,0.14,7.0,1.8,7.3,7.3
8347,04/19/1977 12:00:00 AM,0.532,79.0,,10.8,,,,20.0,0.197,,,8.7,,,0.22,5.6,2.3,8.5,8.5
8356,05/02/1977 12:00:00 AM,1.17,155.0,,8.0,,,,80.0,0.29,,,11.3,,,0.52,8.0,2.8,6.9,6.9
8364,05/17/1977 12:00:00 AM,0.792,124.0,,9.9,,,,240.0,0.274,,,10.4,,,0.18,5.0,3.6,7.4,7.4
8373,06/07/1977 12:00:00 AM,0.017,79.0,,9.2,,,,43.0,0.203,,,14.8,,,0.06,4.8,2.3,7.4,7.4
8381,06/21/1977 12:00:00 AM,0.73,152.0,,8.4,,,,29.0,0.248,,,15.7,,,0.33,4.0,1.6,7.2,7.2
8400,07/05/1977 12:00:00 AM,1.15,184.0,,8.8,,,,240.0,0.382,,,14.4,,,0.46,4.0,1.8,7.0,7.0
8409,07/19/1977 12:00:00 AM,0.742,172.0,,8.1,,,,48.0,0.352,,,16.0,,,0.34,4.3,3.1,7.1,7.1
8419,08/02/1977 12:00:00 AM,0.638,174.0,,7.0,,,,64.0,0.435,,,20.1,,,0.2,2.3,2.3,7.0,7.0
8429,08/16/1977 12:00:00 AM,1.05,175.0,,7.3,,,,290.0,0.314,,,19.2,,,0.61,5.0,2.6,6.8,6.8
8437,09/13/1977 12:00:00 AM,0.862,160.0,,8.7,,,,67.0,0.201,,,15.4,,,0.46,5.8,2.3,7.1,7.1
8445,09/27/1977 12:00:00 AM,0.646,97.0,,9.4,,,,57.0,0.192,,,12.8,,,0.26,11.8,2.4,6.7,6.7
8458,10/12/1977 12:00:00 AM,0.656,,,,,,,,0.352,,,13.2,,,0.32,,,,
8466,10/18/1977 12:00:00 AM,0.951,112.0,,10.1,,,,20.0,0.117,,,10.0,,,0.39,5.0,2.0,7.2,7.2
8469,10/31/1977 12:00:00 AM,0.226,91.0,,10.1,,,,370.0,0.319,,,8.6,,,0.14,4.4,2.5,6.6,6.6
8478,11/21/1977 12:00:00 AM,0.489,95.0,,13.0,,,,16.0,0.3,,,1.3,,,0.17,8.0,2.3,7.5,7.5
8480,11/29/1977 12:00:00 AM,0.138,40.0,,11.7,,,,270.0,0.272,,,6.7,,,0.17,106.0,34.0,6.8,6.8
8488,12/06/1977 12:00:00 AM,0.167,31.0,,11.8,,,,120.0,0.168,,,6.2,,,0.63,376.0,310.0,6.5,6.5
8501,12/27/1977 12:00:00 AM,0.514,108.0,,12.0,,,,29.0,0.558,,,3.8,,,0.06,11.5,22.3,6.8,6.8
8503,01/10/1978 12:00:00 AM,0.429,85.0,,11.0,,,,200.0,0.644,,,6.0,,,0.08,41.0,13.0,6.2,6.2
8513,01/24/1978 12:00:00 AM,0.531,105.0,,11.8,,,,24.0,0.559,,,5.1,,,0.21,14.4,3.8,6.8,6.8
8515,02/10/1978 12:00:00 AM,0.534,126.0,,11.3,,,,130.0,0.46,,,7.0,,,0.16,,3.4,6.7,6.7
8523,02/22/1978 12:00:00 AM,0.458,140.0,,10.7,,,,33.0,0.43,,,8.8,,,0.16,10.0,3.8,7.1,7.1
8533,03/14/1978 12:00:00 AM,0.661,120.0,,11.6,,,,36.0,0.354,,,6.9,,,0.22,3.0,2.7,7.1,7.1
8537,03/28/1978 12:00:00 AM,0.359,54.0,,10.8,,,,110.0,0.198,,,9.9,,,0.19,81.0,23.0,6.5,6.5
8555,04/11/1978 12:00:00 AM,0.595,116.0,,9.7,,,,58.0,0.239,,,10.5,,,0.29,6.8,1.6,6.5,6.5
8565,04/25/1978 12:00:00 AM,0.458,105.0,,9.6,,,,420.0,0.238,,,11.1,,,1.64,2.0,3.7,7.0,7.0
8573,05/09/1978 12:00:00 AM,0.658,160.0,,9.0,,,,77.0,0.287,,,12.2,,,0.16,5.0,2.0,7.0,7.0
8582,05/22/1978 12:00:00 AM,0.786,130.0,,9.2,,,,40.0,0.315,,,12.2,,,0.33,2.8,2.4,7.0,7.0
8591,06/13/1978 12:00:00 AM,0.727,109.0,,8.8,,,,130.0,0.247,,,14.0,,,0.2,6.5,4.8,6.8,6.8
8609,06/27/1978 12:00:00 AM,0.828,142.0,,8.5,,,,58.0,0.229,,,16.5,,,0.32,8.4,6.5,6.8,6.8
8619,07/11/1978 12:00:00 AM,1.13,143.0,,8.8,,,,180.0,0.297,,,14.0,,,0.36,4.3,4.0,7.2,7.2
8628,07/25/1978 12:00:00 AM,0.957,175.0,,7.2,,,,86.0,0.38,,,20.1,,,0.45,5.9,3.6,7.2,7.2
8636,08/08/1978 12:00:00 AM,1.04,177.0,,7.4,,,,550.0,0.286,,,21.0,,,0.58,4.8,2.9,7.6,7.6
8644,08/23/1978 12:00:00 AM,1.19,210.0,,8.0,,,,350.0,0.291,,,14.8,,,0.63,7.5,4.2,7.2,7.2
8647,09/13/1978 12:00:00 AM,,190.0,,8.4,,,,87.0,,,,14.0,,,,13.0,4.4,6.8,6.8
8656,09/27/1978 12:00:00 AM,0.609,107.0,,9.1,,,,170.0,0.266,,,14.0,,,0.3,10.7,4.2,7.1,7.1
8664,10/10/1978 12:00:00 AM,0.876,142.0,,9.0,,,,77.0,0.266,,,13.2,,,0.24,4.5,2.2,6.9,6.9
8667,10/23/1978 12:00:00 AM,1.43,2000.0,,9.7,,,,30.0,0.331,,,10.2,,,0.6,6.2,3.3,6.9,6.9
8675,11/07/1978 12:00:00 AM,0.421,80.0,,10.7,,,,140.0,0.3,,,9.2,,,0.17,19.3,9.4,6.7,6.7
8684,11/21/1978 12:00:00 AM,0.331,82.0,,12.9,,,,109.0,0.439,,,2.5,,,0.15,9.0,4.0,7.4,7.4
8692,12/06/1978 12:00:00 AM,0.246,73.0,,12.0,,,,140.0,0.387,,,5.0,,,0.12,49.0,31.0,7.1,7.1
8695,12/20/1978 12:00:00 AM,0.608,148.0,,12.0,,,,20.0,0.499,,,4.8,,,0.24,7.8,4.5,7.2,7.2
8697,01/11/1979 12:00:00 AM,0.168,105.0,,11.7,,,,330.0,0.545,,,3.8,,,0.09,16.0,85.0,7.1,7.1
8705,01/23/1979 12:00:00 AM,0.443,86.0,,12.3,,,,160.0,0.695,,,4.0,,,0.22,25.0,6.1,7.4,7.4
8738,02/14/1979 12:00:00 AM,0.155,62.0,,11.9,,,,93.0,0.592,,,4.5,,,0.14,74.0,32.0,11.6,11.6
8777,02/28/1979 12:00:00 AM,0.185,90.0,,11.9,,,,51.0,0.529,,,5.3,,,0.09,23.5,8.3,6.8,6.8
8779,03/06/1979 12:00:00 AM,0.164,58.0,,12.5,,,,370.0,0.401,,,7.3,,,0.18,114.0,44.0,6.9,6.9
8787,03/19/1979 12:00:00 AM,0.455,86.0,,11.2,,,,29.0,0.389,,,8.5,,,0.16,9.0,4.5,7.3,7.3
8826,04/10/1979 12:00:00 AM,0.33,60.0,,10.3,,,,93.0,0.284,,,7.2,,,0.12,5.5,5.2,7.3,7.3
8865,04/24/1979 12:00:00 AM,0.017,80.0,,10.2,,,,78.0,0.16,,,10.5,,,0.04,9.2,1.8,7.2,7.2
8873,05/02/1979 12:00:00 AM,0.306,58.0,,11.1,,,,56.0,0.165,,,8.4,,,0.09,11.5,13.0,7.1,7.1
8881,05/22/1979 12:00:00 AM,0.909,130.0,,8.6,,,,38.0,0.173,,,15.0,,,0.29,4.4,2.0,7.1,7.1
8920,06/05/1979 12:00:00 AM,0.416,175.0,,8.0,,,,97.0,0.333,,,15.0,,,0.14,8.0,4.2,6.9,6.9
8928,06/19/1979 12:00:00 AM,0.371,220.0,,8.8,,,,140.0,0.075,,,13.2,,,0.43,4.8,2.0,7.6,7.6
8967,07/03/1979 12:00:00 AM,1.32,164.0,,8.7,,,,560.0,0.332,,,14.8,,,0.46,10.0,2.9,7.2,7.2
9022,07/31/1979 12:00:00 AM,1.75,200.0,,7.4,,,,86.0,0.348,,,19.0,,,0.73,5.2,2.5,7.0,7.0
9030,08/14/1979 12:00:00 AM,1.68,410.0,,7.1,,,,110.0,0.322,,,18.6,,,0.71,3.6,2.9,7.4,7.4
9069,08/28/1979 12:00:00 AM,2.16,400.0,,7.8,,,,110.0,0.294,,,18.0,,,0.93,3.6,2.9,7.3,7.3
