Sample_ID,Collect_DateTime,Ammonia Nitrogen,Conductivity,"Conductivity, Field",Dissolved Oxygen,"Dissolved Oxygen, Field",E. coli,Enterococcus,Fecal Coliform,Nitrite + Nitrate Nitrogen,Orthophosphate Phosphorus,Silica,Temperature,Total Alkalinity,Total Nitrogen,Total Phosphorus,Total Suspended Solids,Turbidity,pH,"pH, Field"
8898,05/24/1979 12:00:00 AM,0.017,110.0,,10.4,,,,160.0,0.79,0.007,,13.0,,,0.016,3.8,1.0,7.2,7.2
8899,05/24/1979 12:00:00 AM,0.034,114.0,,7.7,,,,300.0,0.34,0.024,,13.7,,,0.052,6.7,3.0,6.9,6.9
8912,05/24/1979 12:00:00 AM,0.025,105.0,,9.4,,,,170.0,0.559,0.011,,14.8,,,0.025,6.3,1.4,7.2,7.2
8945,06/21/1979 12:00:00 AM,0.032,121.0,,11.0,,,,180.0,0.739,0.018,,10.8,,,0.026,3.0,,7.1,7.1
8946,06/21/1979 12:00:00 AM,0.057,124.0,,8.2,,,,57.0,0.374,0.042,,11.0,,,0.065,19.0,7.8,7.0,7.0
8959,06/21/1979 12:00:00 AM,0.036,118.0,,10.5,,,,280.0,0.663,0.022,,11.2,,,0.03,4.0,0.8,7.2,7.2
9003,07/26/1979 12:00:00 AM,0.018,166.0,,9.2,,,,200.0,0.653,0.02,,15.3,,,0.027,2.9,0.9,6.9,6.9
9004,07/26/1979 12:00:00 AM,0.028,145.0,,9.3,,,,130.0,0.377,0.042,,16.3,,,0.051,6.8,3.6,6.9,6.9
9014,07/26/1979 12:00:00 AM,0.029,125.0,,8.3,,,,190.0,0.67,0.027,,15.8,,,0.034,2.9,1.4,7.1,7.1
9047,08/23/1979 12:00:00 AM,0.004,125.0,,8.7,,,,140.0,0.658,0.018,,14.0,,,0.027,4.0,1.2,7.2,7.2
9048,08/23/1979 12:00:00 AM,0.02,126.0,,6.6,,,,350.0,0.332,0.044,,15.0,,,0.056,8.7,3.8,6.9,6.9
9061,08/23/1979 12:00:00 AM,0.037,125.0,,9.0,,,,180.0,0.631,0.037,,14.0,,,0.04,6.0,1.3,7.3,7.3
9083,09/05/1979 12:00:00 AM,0.014,125.0,,,,,,330.0,0.822,0.02,,,,,0.029,5.1,2.7,7.0,7.0
9084,09/05/1979 12:00:00 AM,0.021,124.0,,,,,,750.0,0.391,0.073,,,,,0.118,30.7,27.0,6.5,6.5
9108,09/05/1979 12:00:00 AM,0.086,122.0,,,,,,470.0,0.648,0.057,,,,,0.059,9.6,4.2,6.5,6.5
9133,09/27/1979 12:00:00 AM,0.009,143.0,,9.4,,,,140.0,0.648,0.014,,13.5,,,0.033,2.3,1.0,7.9,7.9
9134,09/27/1979 12:00:00 AM,0.019,143.0,,7.4,,,,180.0,0.376,0.034,,14.0,,,0.047,6.3,4.1,7.4,7.4
9147,09/27/1979 12:00:00 AM,0.064,130.0,,9.7,,,,240.0,0.637,0.034,,13.5,,,0.06,9.6,2.5,7.8,7.8
9161,10/18/1979 12:00:00 AM,0.01,134.0,,,,,,700.0,0.632,0.027,,,,,0.055,14.0,9.2,6.9,6.9
9162,10/18/1979 12:00:00 AM,0.04,91.0,,,,,,1500.0,0.275,0.092,,,,,0.166,75.7,31.0,6.6,6.6
9186,10/18/1979 12:00:00 AM,0.148,126.0,,,,,,770.0,0.645,0.064,,,,,0.129,37.3,8.7,6.9,6.9
9215,10/25/1979 12:00:00 AM,0.009,120.0,,,,,,320.0,0.677,0.017,,,,,0.046,11.2,3.8,7.5,7.5
9216,10/25/1979 12:00:00 AM,0.041,144.0,,,,,,700.0,0.36,0.069,,,,,0.126,38.0,28.0,7.5,7.5
9240,10/25/1979 12:00:00 AM,0.141,120.0,,,,,,550.0,0.616,0.106,,,,,0.126,34.0,12.0,7.4,7.4
9273,11/29/1979 12:00:00 AM,0.037,110.0,,11.2,,,,220.0,0.902,0.026,,5.1,,,0.042,6.3,1.3,7.4,7.4
9274,11/29/1979 12:00:00 AM,0.01,17.0,,10.0,,,,20.0,0.368,0.037,,5.9,,,0.056,2.2,3.5,7.1,7.1
9287,11/29/1979 12:00:00 AM,0.059,18.0,,11.2,,,,180.0,0.86,0.034,,5.0,,,0.059,5.7,2.1,7.2,7.2
9345,01/31/1980 12:00:00 AM,0.039,103.0,,13.7,,,,110.0,1.51,0.015,,2.0,,,0.029,3.1,1.5,7.1,7.1
9346,01/31/1980 12:00:00 AM,0.018,104.0,,12.0,,,,80.0,0.858,0.031,,2.9,,,0.058,10.0,4.2,6.9,6.9
9359,01/31/1980 12:00:00 AM,0.017,105.0,,13.4,,,,140.0,1.35,0.017,,3.0,,,0.029,6.4,1.8,7.1,7.1
9389,02/28/1980 12:00:00 AM,0.096,65.0,,11.5,,,,180.0,1.41,0.114,,8.1,,,0.15,122.0,48.0,7.2,7.2
9390,02/28/1980 12:00:00 AM,0.066,66.0,,9.9,,,,160.0,1.02,0.117,,8.9,,,0.063,23.0,29.0,7.1,7.1
9400,02/28/1980 12:00:00 AM,0.041,64.0,,11.1,,,,150.0,1.31,0.042,,8.6,,,0.16,106.0,43.0,7.0,7.0
9427,03/27/1980 12:00:00 AM,0.005,86.0,,12.0,,,,30.0,1.4,0.001,,6.8,,,0.026,6.9,2.7,7.2,7.2
9428,03/27/1980 12:00:00 AM,0.001,96.0,,11.1,,,,20.0,0.721,0.001,,7.2,,,0.041,4.5,3.6,7.2,7.2
9441,03/27/1980 12:00:00 AM,0.013,86.0,,11.7,,,,60.0,1.27,0.001,,7.0,,,0.053,7.1,3.6,7.2,7.2
9462,04/17/1980 12:00:00 AM,0.009,80.0,,11.2,,,,26.0,1.14,0.012,,9.6,,,0.035,3.2,1.1,7.0,7.0
9463,04/17/1980 12:00:00 AM,0.013,83.0,,10.0,,,,24.0,0.547,0.025,,10.2,,,0.038,4.7,1.5,7.0,7.0
9476,04/17/1980 12:00:00 AM,0.014,85.0,,11.1,,,,42.0,1.0,0.013,,9.5,,,0.026,,1.2,7.1,7.1
9505,05/29/1980 12:00:00 AM,0.01,90.0,,11.3,,,,49.0,0.934,0.022,,10.0,,,0.028,9.4,1.6,6.9,6.9
9506,05/29/1980 12:00:00 AM,0.017,116.0,,8.81,,,,290.0,0.278,0.083,,11.5,,,0.073,10.4,2.3,6.8,6.8
9519,05/29/1980 12:00:00 AM,0.016,101.0,,11.1,,,,90.0,0.918,0.029,,10.0,,,0.03,11.7,1.9,7.0,7.0
9538,06/19/1980 12:00:00 AM,0.006,95.0,,11.0,,,,29.0,0.859,0.014,,11.0,,,0.02,10.0,1.1,7.5,7.5
9539,06/19/1980 12:00:00 AM,0.006,125.0,,7.73,,,,54.0,0.342,0.075,,11.7,,,0.072,10.7,6.0,7.3,7.3
9552,06/19/1980 12:00:00 AM,0.006,100.0,,10.7,,,,30.0,0.805,0.034,,11.3,,,0.03,3.7,1.5,7.4,7.4
9575,07/31/1980 12:00:00 AM,0.001,125.0,,10.5,,,,63.0,0.803,0.018,,,,,0.033,3.6,1.4,7.3,7.3
9576,07/31/1980 12:00:00 AM,0.001,145.0,,6.91,,,,170.0,0.244,0.038,,,,,0.067,7.6,4.3,7.0,7.0
9589,07/31/1980 12:00:00 AM,0.001,125.0,,9.81,,,,78.0,0.747,0.025,,,,,0.052,3.0,1.2,7.2,7.2
9614,08/14/1980 12:00:00 AM,0.062,140.0,,10.3,,,,140.0,0.672,0.02,,13.2,,,0.024,1.7,4.5,7.2,7.2
9615,08/14/1980 12:00:00 AM,0.059,,,6.35,,,,290.0,0.239,0.045,,15.2,,,0.055,8.0,1.0,7.1,7.1
9628,08/14/1980 12:00:00 AM,0.067,135.0,,9.73,,,,230.0,0.787,0.027,,14.0,,,0.09,3.3,1.0,7.2,7.2
9649,09/11/1980 12:00:00 AM,0.02,130.0,,11.0,,,,100.0,0.696,0.024,,12.0,,,0.035,0.01,0.9,7.5,7.5
9650,09/11/1980 12:00:00 AM,0.022,143.0,,8.05,,,,230.0,0.602,0.052,,13.6,,,0.076,16.4,28.0,7.2,7.2
9663,09/11/1980 12:00:00 AM,0.031,127.0,,10.2,,,,230.0,0.155,0.032,,12.5,,,0.057,1.7,1.4,7.5,7.5
9682,10/09/1980 12:00:00 AM,0.009,127.0,,11.3,,,,52.0,0.278,0.018,,9.0,,,0.025,1.3,1.3,7.7,7.7
9683,10/09/1980 12:00:00 AM,0.008,145.0,,7.4,,,,220.0,0.194,0.052,,11.2,,,0.084,8.3,6.5,7.4,7.4
9696,10/09/1980 12:00:00 AM,0.107,130.0,,9.95,,,,100.0,0.285,0.058,,9.0,,,0.095,7.7,2.7,7.6,7.6
9725,11/13/1980 12:00:00 AM,0.025,94.0,,12.0,,,,130.0,,0.008,,4.7,,,0.023,6.0,3.2,7.1,7.1
9726,11/13/1980 12:00:00 AM,0.02,126.0,,10.0,,,,44.0,,0.027,,5.5,,,0.049,7.3,4.6,7.0,7.0
9739,11/13/1980 12:00:00 AM,0.037,100.0,,11.9,,,,58.0,,0.016,,5.1,,,0.075,7.3,3.2,7.1,7.1
9762,12/18/1980 12:00:00 AM,0.02,86.0,,11.8,,,,36.0,1.67,0.013,,7.1,,,0.025,1.0,1.5,7.1,7.1
9763,12/18/1980 12:00:00 AM,0.024,108.0,,10.3,,,,110.0,0.975,0.024,,8.1,,,0.056,2.0,2.6,7.0,7.0
9776,12/18/1980 12:00:00 AM,0.042,91.0,,11.5,,,,43.0,1.57,0.015,,7.5,,,0.043,6.0,2.4,7.1,7.1
9782,01/21/1981 12:00:00 AM,0.016,114.0,,11.3,,,,84.0,1.15,0.032,,8.9,,,0.038,6.0,2.6,7.1,7.1
9783,01/21/1981 12:00:00 AM,0.025,113.0,,9.9,,,,240.0,0.566,0.052,,9.0,,,0.076,11.2,15.0,7.0,7.0
9801,01/21/1981 12:00:00 AM,0.044,115.0,,10.8,,,,140.0,1.1,0.037,,9.2,,,0.056,7.2,3.3,7.0,7.0
9821,02/25/1981 12:00:00 AM,0.039,84.0,,11.7,,,,80.0,1.52,0.023,,7.1,,,0.027,8.0,4.7,7.7,7.7
9822,02/25/1981 12:00:00 AM,0.027,86.0,,11.3,,,,32.0,1.22,0.035,,7.0,,,0.042,5.2,4.7,7.6,7.6
9840,02/25/1981 12:00:00 AM,0.037,93.0,,11.6,,,,110.0,1.46,0.023,,6.9,,,0.035,11.2,4.9,7.8,7.8
9859,03/18/1981 12:00:00 AM,0.007,97.0,,12.2,,,,28.0,1.26,0.013,,6.1,,,0.02,4.3,2.5,7.1,7.1
9860,03/18/1981 12:00:00 AM,0.015,100.0,,11.3,,,,27.0,0.748,0.027,,6.2,,,0.047,3.0,3.5,7.0,7.0
9878,03/18/1981 12:00:00 AM,0.014,96.0,,12.1,,,,510.0,1.24,0.015,,6.5,,,0.038,10.0,3.5,7.1,7.1
9901,04/22/1981 12:00:00 AM,0.025,79.0,,11.1,,,,0.0,1.04,0.03,,9.4,,,0.13,34.5,12.0,7.2,7.2
9902,04/22/1981 12:00:00 AM,0.022,92.0,,10.3,,,,340.0,0.474,0.036,,10.8,,,0.059,10.3,6.3,7.2,7.2
9920,04/22/1981 12:00:00 AM,0.04,83.0,,11.1,,,,910.0,1.01,0.03,,10.0,,,0.077,32.5,14.0,7.3,7.3
9939,05/13/1981 12:00:00 AM,0.014,93.0,,11.2,,,,76.0,2.25,0.022,,10.4,,,0.027,5.7,1.9,7.3,7.3
9940,05/13/1981 12:00:00 AM,0.09,100.0,,9.95,,,,140.0,0.743,0.015,,11.4,,,0.056,5.3,2.7,7.2,7.2
9959,05/13/1981 12:00:00 AM,0.049,89.0,,11.4,,,,120.0,2.01,0.023,,10.2,,,0.028,4.0,2.1,7.4,7.4
9980,06/24/1981 12:00:00 AM,0.013,84.0,,11.1,,,,82.0,1.02,0.018,,11.1,,,0.026,5.0,2.6,7.1,7.1
9981,06/24/1981 12:00:00 AM,0.016,104.0,,9.1,,,,1100.0,0.303,0.047,,12.1,,,0.065,6.0,4.6,7.1,7.1
10000,06/24/1981 12:00:00 AM,0.017,85.0,,11.2,,,,140.0,1.01,0.018,,11.0,,,0.043,7.0,3.7,7.1,7.1
10023,07/22/1981 12:00:00 AM,0.001,105.0,,10.8,,,,120.0,0.896,0.017,,12.8,,,0.02,3.0,1.0,7.3,7.3
10024,07/22/1981 12:00:00 AM,0.013,123.0,,8.23,,,,1000.0,0.343,0.025,,15.0,,,0.085,6.0,3.8,7.2,7.2
10043,07/22/1981 12:00:00 AM,0.049,106.0,,10.3,,,,120.0,0.86,0.071,,13.1,,,0.042,11.3,5.5,7.4,7.4
10066,08/19/1981 12:00:00 AM,0.002,124.0,,10.2,,,,240.0,0.812,0.016,,14.2,,,0.035,2.0,0.8,7.3,7.3
10067,08/19/1981 12:00:00 AM,0.001,135.0,,7.72,,,,3000.0,0.306,0.064,,11.2,,,0.052,2.0,2.6,7.1,7.1
10086,08/19/1981 12:00:00 AM,0.003,125.0,,10.2,,,,600.0,0.756,0.027,,15.5,,,0.045,2.67,1.4,7.4,7.4
10105,09/16/1981 12:00:00 AM,0.011,120.0,,10.3,,,,200.0,0.541,0.031,,13.1,,,0.035,2.33,0.6,7.2,7.2
10106,09/16/1981 12:00:00 AM,0.014,137.0,,8.11,,,,490.0,0.161,0.071,,14.8,,,0.118,2.0,1.6,7.0,7.0
10125,09/16/1981 12:00:00 AM,0.054,122.0,,9.99,,,,220.0,0.518,0.046,,13.8,,,0.039,7.0,0.8,7.2,7.2
10148,10/21/1981 12:00:00 AM,0.015,105.0,,10.9,,,,97.0,,0.034,,7.3,,,0.021,1.2,0.7,7.2,7.2
10149,10/21/1981 12:00:00 AM,0.024,116.0,,9.1,,,,90.0,,0.047,,8.5,,,0.069,3.6,2.8,7.1,7.1
10168,10/21/1981 12:00:00 AM,0.125,107.0,,10.1,,,,350.0,,0.037,,7.5,,,0.07,5.6,1.4,7.1,7.1
10224,11/19/1981 12:00:00 AM,0.025,97.0,,10.9,,,,64.0,1.33,0.017,,8.2,,,0.023,4.0,2.0,7.1,7.1
10225,11/19/1981 12:00:00 AM,0.033,93.0,,9.85,,,,24.0,1.38,0.034,,8.5,,,0.051,5.33,6.9,6.9,6.9
10231,11/19/1981 12:00:00 AM,0.067,94.0,,10.3,,,,48.0,1.43,0.026,,8.2,,,0.044,5.0,2.3,6.9,6.9
10238,12/16/1981 12:00:00 AM,0.004,42.0,,11.5,,,,100.0,2.17,0.007,,6.5,,,0.027,14.7,2.4,6.8,6.8
10239,12/16/1981 12:00:00 AM,0.037,53.0,,11.2,,,,57.0,2.0,0.036,,6.0,,,0.03,11.7,2.7,6.8,6.8
10258,12/16/1981 12:00:00 AM,0.04,53.0,,11.5,,,,87.0,2.1,0.037,,5.9,,,0.024,13.0,7.3,6.7,6.7
10286,08/26/1981 12:00:00 AM,,,,,,,,,,,,13.6,,,,,,,
10296,09/01/1981 12:00:00 AM,,,,,,,,,,,,15.4,,,,,,,
10304,09/01/1981 12:00:00 AM,,,,,,,,,,,,14.0,,,,,,,
10315,08/26/1981 12:00:00 AM,,,,,,,,,,,,13.6,,,,,,,
10316,08/26/1981 12:00:00 AM,,,,,,,,,,,,13.6,,,,,,,
10317,09/01/1981 12:00:00 AM,,,,,,,,,,,,15.4,,,,,,,
10318,09/01/1981 12:00:00 AM,,,,,,,,,,,,15.4,,,,,,,
10365,09/01/1981 12:00:00 AM,,,,,,,,,,,,14.0,,,,,,,
10366,09/01/1981 12:00:00 AM,,,,,,,,,,,,14.0,,,,,,,
10372,01/20/1982 12:00:00 AM,0.013,77.0,,12.3,,,,29.0,2.09,0.036,,5.9,,,0.008,15.0,5.0,7.9,7.9
10373,01/20/1982 12:00:00 AM,0.025,77.0,,12.0,,,,36.0,1.9,0.061,,5.0,,,0.057,13.3,7.8,6.9,6.9
10392,01/20/1982 12:00:00 AM,0.016,80.0,,12.2,,,,39.0,1.98,0.038,,5.5,,,0.053,15.0,5.7,7.0,7.0
10417,02/24/1982 12:00:00 AM,0.015,55.0,,12.6,,,,35.0,1.57,0.027,,5.8,,,0.025,18.7,5.2,7.0,7.0
10418,02/24/1982 12:00:00 AM,0.02,69.0,,12.1,,,,43.0,1.26,0.036,,5.1,,,0.031,7.67,2.8,7.0,7.0
10437,02/24/1982 12:00:00 AM,0.019,72.0,,12.6,,,,42.0,1.46,0.028,,5.6,,,0.023,18.0,5.4,7.1,7.1
10462,03/24/1982 12:00:00 AM,0.019,94.0,,12.3,,,,9.0,1.42,0.043,,6.0,,,0.039,11.0,4.7,7.6,7.6
10463,03/24/1982 12:00:00 AM,0.034,97.0,,11.2,,,,68.0,0.802,0.063,,5.5,,,0.056,5.0,3.3,7.5,7.5
10482,03/24/1982 12:00:00 AM,0.024,95.0,,12.0,,,,20.0,1.67,0.046,,5.2,,,0.044,8.67,2.5,7.5,7.5
10507,04/21/1982 12:00:00 AM,0.012,93.0,,12.1,,,,22.0,0.954,0.018,,9.0,,,0.018,1.2,1.2,7.5,7.5
10508,04/21/1982 12:00:00 AM,0.007,98.0,,10.8,,,,23.0,0.599,0.038,,8.8,,,0.05,5.67,3.2,7.3,7.3
10527,04/21/1982 12:00:00 AM,0.007,90.0,,12.3,,,,31.0,0.896,0.02,,7.9,,,0.025,3.33,1.9,7.5,7.5
10552,05/19/1982 12:00:00 AM,0.094,107.0,,11.8,,,,37.0,1.13,0.007,,10.0,,,0.024,1.34,1.3,7.6,7.6
10553,05/19/1982 12:00:00 AM,0.105,150.0,,9.87,,,,84.0,0.351,0.042,,10.5,,,0.068,6.0,4.3,7.4,7.4
10572,05/19/1982 12:00:00 AM,0.096,150.0,,11.9,,,,140.0,1.0,0.039,,9.9,,,0.036,4.34,1.6,7.6,7.6
10601,06/16/1982 12:00:00 AM,0.03,131.0,,10.6,,,,110.0,0.938,0.021,,12.5,,,0.017,5.0,1.2,7.6,7.6
10602,06/16/1982 12:00:00 AM,0.042,142.0,,8.3,,,,510.0,0.436,0.063,,13.0,,,0.096,6.68,3.9,7.4,7.4
10621,06/16/1982 12:00:00 AM,0.044,126.0,,10.2,,,,150.0,0.862,0.025,,13.0,,,0.029,67.0,1.3,7.5,7.5
10677,07/22/1982 12:00:00 AM,0.008,129.0,,11.2,,,,110.0,0.759,0.014,,13.0,,,0.028,2.01,1.4,7.7,7.7
10678,07/22/1982 12:00:00 AM,0.009,135.0,,9.17,,,,1300.0,0.297,0.039,,12.9,,,0.057,3.0,2.8,7.4,7.4
10689,07/22/1982 12:00:00 AM,0.031,116.0,,11.1,,,,210.0,0.707,0.02,,14.2,,,0.034,1.67,1.5,7.8,7.8
10731,08/19/1982 12:00:00 AM,0.027,134.0,,10.8,,,,160.0,0.78,0.018,,12.5,,,0.039,1.0,0.8,7.7,7.7
10732,08/19/1982 12:00:00 AM,0.024,160.0,,8.92,,,,380.0,0.476,0.04,,14.0,,,0.066,4.01,3.0,7.7,7.7
10743,08/19/1982 12:00:00 AM,0.021,128.0,,10.4,,,,180.0,0.735,0.024,,13.0,,,0.046,1.6,0.9,7.6,7.6
10793,09/23/1982 12:00:00 AM,0.002,138.0,,10.5,,,,150.0,0.729,0.015,,12.6,,,0.024,2.0,1.8,7.5,7.5
10794,09/23/1982 12:00:00 AM,0.01,150.0,,8.61,,,,250.0,0.41,0.043,,13.7,,,0.06,3.5,3.4,7.4,7.4
10805,09/23/1982 12:00:00 AM,0.026,133.0,,10.2,,,,120.0,0.726,0.024,,13.0,,,0.047,4.0,1.7,7.6,7.6
10843,10/21/1982 12:00:00 AM,0.002,120.0,,9.84,,,,68.0,0.758,0.014,,8.9,,,0.136,6.33,0.9,7.7,7.7
10844,10/21/1982 12:00:00 AM,0.005,131.0,,9.11,,,,170.0,0.326,0.043,,9.8,,,0.172,3.67,2.1,7.5,7.5
10855,10/21/1982 12:00:00 AM,0.111,123.0,,11.0,,,,220.0,0.785,0.037,,9.3,,,0.112,5.34,1.4,7.5,7.5
10901,12/02/1982 12:00:00 AM,0.036,82.0,,11.9,,,,28.0,1.36,0.013,,7.0,,,0.015,2.01,1.1,7.2,7.2
10902,12/02/1982 12:00:00 AM,0.041,95.0,,10.7,,,,44.0,1.09,0.025,,6.9,,,0.034,3.99,0.1,7.1,7.1
10913,12/02/1982 12:00:00 AM,0.067,96.0,,11.4,,,,130.0,1.38,0.017,,7.1,,,0.022,3.67,1.0,7.3,7.3
10936,09/02/1982 12:00:00 AM,,,,,,,,,,,,14.2,,,,,,,
10937,09/02/1982 12:00:00 AM,,,,,,,,,,,,17.3,,,,,,,
10942,09/02/1982 12:00:00 AM,,,,,,,,,,,,16.4,,,,,,,
10971,01/13/1983 12:00:00 AM,0.004,79.0,,11.7,,,,19.0,1.58,0.01,,6.7,,,0.031,20.0,5.5,7.3,7.3
10972,01/13/1983 12:00:00 AM,0.009,82.0,,11.3,,,,50.0,1.24,0.025,,6.7,,,0.037,5.99,4.3,7.3,7.3
10983,01/13/1983 12:00:00 AM,0.015,80.0,,11.7,,,,39.0,1.48,0.013,,7.1,,,0.037,20.0,5.7,7.4,7.4
11009,02/17/1983 12:00:00 AM,0.048,80.0,,11.2,,,,80.0,1.16,,,,,,0.03,5.99,3.0,7.3,7.3
